,FlrOnset,Flrmaxtime,Flrendtime,FlrPeakFlux,Flareq,xrsclass,optclass,optlocation,region,radiopatrol,TypeII,TypeIIDur,TypeIV,TypeIVDur,cmepatrol,cmeonset,cmespeed,satid,FlrHpTime,FlrIntFlux,FlrIntFlux2,IntFluxQ,tmewe,emmewe,tchianti,emchianti,Association,S1,S2,S3,S4,S5,GT100,Width,sep,1MHz_fluence,1MHz_close_freq,typeIII_int,FlarePersistence
1881,1991-03-17T14:27:00.000,1991-03-17T14:40:00.000,1991-03-17T14:54:00.000,2.39e-05,-1.0,M2.3,2B,S26E93,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-17T14:43:00.000,0.00919,0.0061,,16.5,49.3,16.3,48.9,None,,,,,,,,0,,,,6.000000000000001e-05
1882,1991-03-17T17:36:00.000,1991-03-17T17:53:00.000,1991-03-17T18:02:00.000,2.46e-05,-1.0,M2.4,SB,S10W14,6545,,0,-1.0,0,-1.0,No,,,G7,1991-03-17T17:58:00.000,0.0154,0.012,,17.9,49.3,17.4,48.9,None,,,,,,,,0,,,,6.000000000000001e-05
1883,1991-03-17T20:29:00.000,1991-03-17T21:09:00.000,1991-03-17T21:16:00.000,6.52e-06,144.0,C6.5,1F,S22E87,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-17T21:16:00.000,0.0159,0.00856,,8.86,49.3,10.3,48.7,None,,,,,,,,0,,,,6.000000000000001e-05
1884,1991-03-17T21:15:00.000,1991-03-17T21:27:00.000,1991-03-17T21:32:00.000,0.000181,-1.0,X1.8,2B,S10W13,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-17T21:32:00.000,0.0795,0.0726,,26.2,49.9,23.3,49.7,None,,,,,,,,0,,,,0.0001
1885,1991-03-18T10:24:00.000,1991-03-18T10:41:00.000,1991-03-18T11:08:00.000,9.62e-06,16.0,C9.6,SN,S09W23,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-18T11:07:00.000,0.0189,0.00858,,10.8,49.3,11.9,48.8,None,,,,,,,,0,,,,0.0001
1887,1991-03-18T16:57:00.000,1991-03-18T17:09:00.000,1991-03-18T17:25:00.000,1.04e-05,144.0,M1.0,SN,S23E71,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-18T17:25:00.000,0.0141,0.00587,,10.3,49.5,11.5,48.9,None,,,,,,,,0,,,,0.0001
1888,1991-03-18T17:26:00.000,1991-03-18T17:33:00.000,1991-03-18T17:40:00.000,5.28e-05,-1.0,M5.2,1B,S10W24,6545,,0,-1.0,0,-1.0,No,,,G7,1991-03-18T17:39:00.000,0.0276,0.0206,,20.1,49.4,19.0,49.2,None,,,,,,,,0,,,,0.0001
1889,1991-03-18T21:33:00.000,1991-03-18T21:41:00.000,1991-03-18T21:58:00.000,1.44e-05,-1.0,M1.4,SB,S10W31,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-18T21:47:00.000,0.00802,0.00413,,13.4,49.6,14.0,48.9,None,,,,,,,,0,,,,0.0001
1890,1991-03-18T22:21:00.000,1991-03-18T22:36:00.000,1991-03-18T23:03:00.000,1.09e-05,16.0,M1.0,SF,S24E68,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-18T22:48:00.000,0.014,0.00555,,9.86,49.4,11.2,48.8,None,,,,,,,,0,,,,0.0001
1892,1991-03-19T01:48:00.000,1991-03-19T01:59:00.000,1991-03-19T03:37:00.000,6.73e-05,16.0,M6.7,2B,S10W33,6545,Yes,1,3.0,0,-1.0,No,,,G7,1991-03-19T02:03:00.000,0.0231,0.0183,,21.3,49.6,19.9,49.3,None,,,,,,,,0,,,,6.7e-05
1893,1991-03-19T05:53:00.000,1991-03-19T06:13:00.000,1991-03-19T06:29:00.000,1.28e-05,16.0,M1.2,SF,S10W35,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-19T06:17:00.000,0.0096,0.00519,,13.3,49.7,13.9,49.0,None,,,,,,,,0,,,,6.7e-05
1894,1991-03-19T10:47:00.000,1991-03-19T11:05:00.000,1991-03-19T11:13:00.000,1.74e-05,-1.0,M1.7,SB,S10W38,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-19T11:08:00.000,0.00806,0.00488,,16.3,49.5,16.2,48.8,None,,,,,,,,0,,,,6.7e-05
1897,1991-03-19T23:33:00.000,1991-03-20T00:15:00.000,1991-03-20T00:58:00.000,2.42e-05,-1.0,M2.4,2N,S25E54,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-20T00:20:00.000,0.0283,0.0205,,13.0,49.6,13.7,49.0,None,,,,,,,,0,,,,6.7e-05
1898,1991-03-20T03:24:00.000,1991-03-20T03:33:00.000,1991-03-20T03:46:00.000,2e-05,16.0,M1.9,2B,S23W90,6538,Yes,1,21.0,0,-1.0,No,,,G7,1991-03-20T03:40:00.000,0.0129,0.0105,,10.9,49.5,12.0,49.0,None,,,,,,,,0,,,,1.7e-05
1899,1991-03-20T03:45:00.000,1991-03-20T03:57:00.000,1991-03-20T04:47:00.000,2.51e-05,16.0,M2.5,1N,S09W41,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-20T04:05:00.000,0.0209,0.0147,,15.4,49.4,15.5,49.0,None,,,,,,,,0,,,,1.9e-05
1900,1991-03-20T05:24:00.000,1991-03-20T06:16:00.000,1991-03-20T08:00:00.000,7.03e-05,16.0,M7.0,1N,S25E52,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-20T06:18:00.000,0.0619,0.0504,,20.4,49.6,19.2,49.3,None,,,,,,,,0,,,,2.5e-05
1901,1991-03-20T12:57:00.000,1991-03-20T13:17:00.000,1991-03-20T13:38:00.000,5.85e-06,144.0,C5.8,1N,S08E56,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-20T13:38:00.000,0.0115,0.00399,,7.42,49.3,8.82,48.7,None,,,,,,,,0,,,,7.000000000000001e-05
1902,1991-03-20T23:30:00.000,1991-03-20T23:36:00.000,1991-03-20T23:50:00.000,9.55e-06,16.0,C9.5,SF,S29E42,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-20T23:49:00.000,0.00833,0.00519,,14.2,49.3,14.6,48.7,None,,,,,,,,0,,,,7.000000000000001e-05
1903,1991-03-21T00:35:00.000,1991-03-21T00:54:00.000,1991-03-21T01:05:00.000,1.59e-05,16.0,M1.5,2B,S23E51,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-21T01:01:00.000,0.0145,0.0112,,14.6,49.5,14.9,48.9,None,,,,,,,,0,,,,7.000000000000001e-05
1904,1991-03-21T05:40:00.000,1991-03-21T05:52:00.000,1991-03-21T06:04:00.000,1.62e-05,-1.0,M1.6,SF,S24E53,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-21T06:00:00.000,0.00972,0.00726,,14.6,49.5,14.9,48.9,None,,,,,,,,0,,,,7.000000000000001e-05
1905,1991-03-21T08:05:00.000,1991-03-21T08:16:00.000,1991-03-21T09:35:00.000,2.79e-05,16.0,M2.7,1N,S09W66,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-21T08:21:00.000,0.0141,0.0121,,15.7,49.5,15.8,49.0,None,,,,,,,,0,,,,1.7e-05
1906,1991-03-21T12:34:00.000,1991-03-21T12:46:00.000,1991-03-21T12:56:00.000,1.19e-05,-1.0,M1.1,SN,S19E41,6555,Yes,0,-1.0,1,2.0,No,,,G7,1991-03-21T12:52:00.000,0.00872,0.00502,,11.7,49.3,12.7,48.7,None,,,,,,,,0,,,,2.7000000000000002e-05
1907,1991-03-21T15:01:00.000,1991-03-21T15:15:00.000,1991-03-21T15:26:00.000,1.77e-05,-1.0,M1.7,1N,S24E44,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-21T15:21:00.000,0.00873,0.00627,,14.4,49.4,14.7,48.8,None,,,,,,,,0,,,,2.7000000000000002e-05
1908,1991-03-21T20:17:00.000,1991-03-21T20:25:00.000,1991-03-21T20:34:00.000,0.000103,16.0,X1.0,1N,S13E29,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-21T20:28:00.000,0.0353,0.0326,,20.3,49.8,19.2,49.5,None,,,,,,,,0,,,,2.7000000000000002e-05
1909,1991-03-21T23:34:00.000,1991-03-21T23:43:00.000,1991-03-22T00:01:00.000,5.41e-05,16.0,M5.4,2B,S25E40,6555,Yes,0,-1.0,1,289.0,No,,,G7,1991-03-21T23:49:00.000,0.0298,0.027,,20.7,49.5,19.4,49.3,None,,,,,,,,0,,,,0.0001
1910,1991-03-22T05:51:00.000,1991-03-22T06:05:00.000,1991-03-22T06:15:00.000,3.37e-05,-1.0,M3.3,SB,S09W66,6545,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-22T06:07:00.000,0.01,0.00647,,16.2,49.4,16.1,49.1,None,,,,,,,,0,,,,0.0001
1911,1991-03-22T06:19:00.000,1991-03-22T06:39:00.000,1991-03-22T07:07:00.000,1.18e-05,-1.0,M1.1,SN,S26E37,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-22T06:52:00.000,0.0172,0.00659,,16.2,49.4,16.1,49.1,None,,,,,,,,0,,,,0.0001
1912,1991-03-22T08:32:00.000,1991-03-22T08:39:00.000,1991-03-22T09:19:00.000,6.31e-05,16.0,M6.3,1B,S25E35,6555,Yes,1,22.0,1,22.0,No,,,G7,1991-03-22T08:52:00.000,0.041,0.0364,,23.4,49.5,21.3,49.3,None,,,,,,,,0,,,,0.0001
1913,1991-03-22T19:00:00.000,1991-03-22T20:19:00.000,1991-03-22T22:09:00.000,2.51e-05,16.0,M2.5,1B,S27E23,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-22T20:32:00.000,0.0492,0.0385,,16.2,49.5,16.1,49.0,None,,,,,,,,0,,,,0.0001
1914,1991-03-22T22:41:00.000,1991-03-22T22:46:00.000,1991-03-22T23:22:00.000,0.000951,-1.0,X9.5,3B,S26E28,6555,Yes,1,8.0,0,-1.0,No,,,G7,1991-03-22T22:53:00.000,0.446,0.443,,17.9,50.9,17.4,50.6,ProtonFlare 1,991-03-23T04:40:00.000,,,,,,,1,,,,6.3e-05
1915,1991-03-23T01:36:00.000,1991-03-23T01:55:00.000,1991-03-23T02:05:00.000,3.32e-05,-1.0,M3.3,1N,S24E14,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-23T02:04:00.000,0.0263,0.0179,,13.7,49.4,14.2,49.1,None,,,,,,,,0,,,,0.0009400000000000001
1916,1991-03-23T02:36:00.000,1991-03-23T04:30:00.000,1991-03-23T06:06:00.000,6.85e-05,16.0,M6.8,2B,S24E11,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-23T05:57:00.000,0.584,0.444,,13.6,49.9,14.1,49.5,None,,,,,,,,0,,,,0.0009400000000000001
1917,1991-03-23T12:25:00.000,1991-03-23T12:33:00.000,1991-03-23T12:45:00.000,6.82e-05,16.0,M6.8,1B,S20E14,6555,Yes,1,20.0,1,20.0,No,,,G7,1991-03-23T12:43:00.000,0.0455,0.0376,,19.5,49.7,18.5,49.4,None,,,,,,,,0,,,,0.0009400000000000001
1918,1991-03-23T18:44:00.000,1991-03-23T19:06:00.000,1991-03-23T19:15:00.000,1.51e-05,16.0,M1.5,SN,S26E17,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-23T19:13:00.000,0.0146,0.00801,,13.7,49.2,14.2,48.8,None,,,,,,,,0,,,,0.0009400000000000001
1919,1991-03-23T22:00:00.000,1991-03-23T22:19:00.000,1991-03-23T22:49:00.000,5.66e-05,16.0,M5.6,2B,S23E06,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-23T22:30:00.000,0.0665,0.0599,,18.8,49.6,18.0,49.3,None,,,,,,,,0,,,,0.0009400000000000001
1920,1991-03-23T23:02:00.000,1991-03-23T23:17:00.000,1991-03-24T00:08:00.000,4.15e-05,-1.0,M4.1,2B,S27E07,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-23T23:30:00.000,0.0436,0.0389,,15.7,49.5,15.8,49.2,None,,,,,,,,0,,,,0.0009400000000000001
1921,1991-03-24T00:09:00.000,1991-03-24T00:55:00.000,1991-03-24T01:27:00.000,2.09e-05,16.0,M2.0,2F,S17W29,6550,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-24T01:17:00.000,0.0658,0.0341,,9.1,49.6,10.5,49.1,None,,,,,,,,0,,,,6.8e-05
1922,1991-03-24T02:37:00.000,1991-03-24T02:48:00.000,1991-03-24T04:27:00.000,3.26e-05,16.0,M3.2,2B,S15E51,6558,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-24T02:57:00.000,0.0252,0.0203,,15.3,49.8,15.4,49.2,None,,,,,,,,0,,,,6.8e-05
1923,1991-03-24T10:02:00.000,1991-03-24T10:20:00.000,1991-03-24T10:56:00.000,3e-05,16.0,M2.9,2B,S26E06,6555,Yes,0,-1.0,1,30.0,No,,,G7,1991-03-24T10:46:00.000,0.0516,0.0449,,16.1,49.4,16.1,49.1,None,,,,,,,,0,,,,6.8e-05
1924,1991-03-24T14:07:00.000,1991-03-24T14:17:00.000,1991-03-24T15:13:00.000,3.75e-05,16.0,M3.7,1N,S26W01,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-24T14:25:00.000,0.0263,0.0231,,19.5,49.4,18.6,49.1,None,,,,,,,,0,,,,5.6e-05
1925,1991-03-24T19:32:00.000,1991-03-24T19:42:00.000,1991-03-24T20:15:00.000,1.41e-05,16.0,M1.4,SN,S14E42,6558,,0,-1.0,0,-1.0,No,,,G7,1991-03-24T20:01:00.000,0.0175,0.0129,,11.7,49.3,12.6,48.8,None,,,,,,,,0,,,,5.6e-05
1926,1991-03-24T23:54:00.000,1991-03-25T00:24:00.000,1991-03-25T00:48:00.000,0.00012,16.0,X1.1,3B,S24W08,6555,Yes,0,-1.0,1,614.0,No,,,G7,1991-03-25T00:32:00.000,0.09,0.0855,,25.8,49.8,23.0,49.6,None,,,,,,,,0,,,,3.7000000000000005e-05
1927,1991-03-25T05:23:00.000,1991-03-25T05:35:00.000,1991-03-25T05:54:00.000,1.58e-05,16.0,M1.5,1B,S27W10,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-25T05:45:00.000,0.0123,0.00988,,15.1,49.5,15.3,48.9,None,,,,,,,,0,,,,0.00011000000000000002
1928,1991-03-25T07:57:00.000,1991-03-25T08:11:00.000,1991-03-25T08:31:00.000,0.000535,-1.0,X5.3,3B,S24W13,6555,Yes,1,1.0,1,4.0,No,,,G7,1991-03-25T08:18:00.000,0.239,0.237,,29.5,50.5,25.5,50.3,None,,,,,,,,0,,,,0.00011000000000000002
1929,1991-03-25T11:16:00.000,1991-03-25T11:38:00.000,1991-03-25T11:57:00.000,8.39e-06,16.0,C8.3,SN,S24W13,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-25T11:56:00.000,0.0153,0.0103,,12.2,49.2,13.0,48.6,None,,,,,,,,0,,,,0.00053
1931,1991-03-25T21:30:00.000,1991-03-25T22:27:00.000,1991-03-25T22:55:00.000,6.32e-06,16.0,C6.3,1N,S01W62,6549,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-25T22:55:00.000,0.023,0.0145,,8.38,49.3,9.81,48.7,None,,,,,,,,0,,,,0.00053
1932,1991-03-26T16:09:00.000,1991-03-26T16:26:00.000,1991-03-26T16:50:00.000,1.04e-05,-1.0,M1.0,SF,S22W30,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-26T16:43:00.000,0.0151,0.0113,,15.5,49.2,15.6,48.7,None,,,,,,,,0,,,,8.599999999999999e-06
1933,1991-03-26T20:25:00.000,1991-03-26T20:34:00.000,1991-03-26T20:50:00.000,0.000476,-1.0,X4.7,3B,S28W23,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-26T20:38:00.000,0.215,0.214,,26.5,50.4,23.4,50.2,None,,,,,,,,0,,,,1e-05
1934,1991-03-27T20:31:00.000,1991-03-27T22:16:00.000,1991-03-28T00:22:00.000,2.12e-05,16.0,M2.1,1B,S24W47,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-27T22:31:00.000,0.0441,0.0339,,15.1,49.4,15.2,49.0,None,,,,,,,,0,,,,0.00047000000000000004
1935,1991-03-29T05:27:00.000,1991-03-29T05:56:00.000,1991-03-29T06:17:00.000,4.81e-06,-1.0,C4.8,1F,S26W62,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-29T06:05:00.000,0.00908,0.00278,,9.1,49.2,10.5,48.6,None,,,,,,,,0,,,,6e-06
1936,1991-03-29T06:37:00.000,1991-03-29T06:50:00.000,1991-03-29T07:09:00.000,0.000245,-1.0,X2.4,3B,S28W60,6555,Yes,1,12.0,1,19.0,No,,,G7,1991-03-29T06:55:00.000,0.114,0.111,,9.1,49.2,10.5,48.6,None,,,,,,,,0,,,,6e-06
1937,1991-03-29T10:29:00.000,1991-03-29T10:46:00.000,1991-03-29T11:06:00.000,1.17e-05,-1.0,M1.1,SN,S27W69,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-29T10:55:00.000,0.0109,0.00714,,12.6,49.4,13.3,48.8,None,,,,,,,,0,,,,0.00024
1938,1991-03-30T03:20:00.000,1991-03-30T03:29:00.000,1991-03-30T03:46:00.000,1.25e-05,16.0,M1.2,1N,S26W64,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-30T03:35:00.000,0.00938,0.00637,,13.2,49.2,13.8,48.8,None,,,,,,,,0,,,,0.00024
1939,1991-03-30T04:18:00.000,1991-03-30T05:55:00.000,1991-03-30T10:59:00.000,1.02e-05,-1.0,M1.0,SF,S11W59,6560,,0,-1.0,0,-1.0,No,,,G7,1991-03-30T07:53:00.000,0.103,0.0548,,13.2,49.2,13.8,48.8,None,,,,,,,,0,,,,0.00024
1940,1991-03-31T16:46:00.000,1991-03-31T16:54:00.000,1991-03-31T17:06:00.000,2.47e-05,-1.0,M2.4,SF,S23W89,6555,Yes,0,-1.0,0,-1.0,No,,,G7,1991-03-31T16:59:00.000,0.011,0.00944,,18.1,49.3,17.5,49.0,None,,,,,,,,0,,,,1.5000000000000002e-05
1941,1991-03-31T19:03:00.000,1991-03-31T19:11:00.000,1991-03-31T19:19:00.000,0.000108,-1.0,X1.0,SF,S22W88,6555,,0,-1.0,0,-1.0,No,,,G7,1991-03-31T19:15:00.000,0.0341,0.0325,,28.7,49.7,25.0,49.5,None,,,,,,,,0,,,,2.4e-05
1943,1991-04-02T22:51:00.000,1991-04-02T23:26:00.000,1991-04-03T02:35:00.000,6.17e-05,16.0,M6.1,3B,N14W00,6562,Yes,0,-1.0,1,232.0,No,,,G7,1991-04-02T23:50:00.000,0.131,0.125,,13.5,49.8,14.1,49.4,ProtonFlare 1,991-04-03T01:00:00.000,,,,,,,1,,,,4.1e-06
1944,1991-04-06T08:02:00.000,1991-04-06T08:42:00.000,1991-04-06T09:17:00.000,7.89e-06,16.0,C7.8,1N,N14W42,6562,Yes,0,-1.0,1,3.0,No,,,G7,1991-04-06T09:17:00.000,0.026,0.0195,,8.0,49.3,9.44,48.8,None,,,,,,,,0,,,,2.6e-06
1945,1991-04-10T03:18:00.000,1991-04-10T03:43:00.000,1991-04-10T03:59:00.000,1.79e-05,16.0,M1.7,1N,N09E79,6583,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-10T03:48:00.000,0.0225,0.014,,13.8,49.3,14.3,48.9,None,,,,,,,,0,,,,1e-05
1946,1991-04-10T12:43:00.000,1991-04-10T13:16:00.000,1991-04-10T13:23:00.000,6.08e-06,16.0,C6.0,SF,N12E79,6583,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-10T13:22:00.000,0.0109,0.00596,,10.1,49.3,11.4,48.6,None,,,,,,,,0,,,,1.3000000000000001e-05
1947,1991-04-10T15:03:00.000,1991-04-10T15:12:00.000,1991-04-10T15:34:00.000,1.44e-05,-1.0,M1.4,SF,N27E35,6580,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-10T15:21:00.000,0.00981,0.00651,,15.8,49.3,15.9,48.8,None,,,,,,,,0,,,,1.3000000000000001e-05
1948,1991-04-10T15:40:00.000,1991-04-10T16:21:00.000,1991-04-10T16:51:00.000,9.46e-06,16.0,C9.4,2N,N12W90,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-10T16:51:00.000,0.0321,0.0123,,9.9,49.3,11.2,48.8,None,,,,,,,,0,,,,1.4e-05
1949,1991-04-10T20:10:00.000,1991-04-10T20:30:00.000,1991-04-10T20:40:00.000,1.86e-05,16.0,M1.8,SF,N11E77,6583,,0,-1.0,0,-1.0,No,,,G7,1991-04-10T20:36:00.000,0.0194,0.0162,,17.2,49.3,16.8,48.9,None,,,,,,,,0,,,,1.4e-05
1950,1991-04-10T22:15:00.000,1991-04-10T22:43:00.000,1991-04-10T23:44:00.000,6.05e-06,16.0,C6.0,1N,S19W35,6566,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-10T23:43:00.000,0.0236,0.0148,,11.9,49.4,12.8,48.8,None,,,,,,,,0,,,,1.9e-05
1951,1991-04-11T00:02:00.000,1991-04-11T01:03:00.000,1991-04-11T01:56:00.000,9.12e-06,-1.0,C9.1,2B,S20W76,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-11T01:37:00.000,0.0375,0.016,,9.57,49.3,10.9,48.8,None,,,,,,,,0,,,,1.9e-05
1952,1991-04-11T03:29:00.000,1991-04-11T03:41:00.000,1991-04-11T04:03:00.000,1.04e-05,-1.0,M1.0,SN,S20W41,6566,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-11T03:50:00.000,0.0102,0.00563,,11.4,49.3,12.4,48.7,None,,,,,,,,0,,,,1.9e-05
1953,1991-04-11T05:26:00.000,1991-04-11T06:17:00.000,1991-04-11T07:32:00.000,4.92e-05,16.0,M4.9,1B,N10E68,6583,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-11T06:29:00.000,0.0646,0.0409,,17.5,49.5,17.1,49.2,None,,,,,,,,0,,,,1.9e-05
1954,1991-04-11T08:26:00.000,1991-04-11T08:42:00.000,1991-04-11T09:52:00.000,2.49e-05,16.0,M2.4,1N,N09E66,6583,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-11T08:48:00.000,0.0145,0.00871,,17.3,49.2,16.9,49.0,None,,,,,,,,0,,,,4.9000000000000005e-05
1955,1991-04-11T11:03:00.000,1991-04-11T11:16:00.000,1991-04-11T12:01:00.000,9.57e-05,16.0,M9.5,1F,N09E65,-1,Yes,1,29.0,1,29.0,No,,,G7,1991-04-11T11:19:00.000,0.0245,0.0213,,22.1,49.7,20.5,49.5,None,,,,,,,,0,,,,4.9000000000000005e-05
1956,1991-04-11T18:28:00.000,1991-04-11T18:50:00.000,1991-04-11T19:12:00.000,9.86e-06,-1.0,C9.8,SN,S10W31,6570,,0,-1.0,0,-1.0,No,,,G7,1991-04-11T19:12:00.000,0.0152,0.00865,,10.2,49.4,11.5,48.8,None,,,,,,,,0,,,,9.5e-05
1957,1991-04-12T00:06:00.000,1991-04-12T00:45:00.000,1991-04-12T01:11:00.000,1.2e-05,16.0,M1.1,SF,S20W55,6566,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-12T01:11:00.000,0.0317,0.0215,,11.3,49.4,12.3,48.9,None,,,,,,,,0,,,,9.5e-05
1958,1991-04-12T03:09:00.000,1991-04-12T03:38:00.000,1991-04-12T04:12:00.000,1.03e-05,16.0,M1.0,2N,S17W09,6578,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-12T04:11:00.000,0.0286,0.0176,,7.49,49.5,8.9,48.9,None,,,,,,,,0,,,,9.5e-05
1959,1991-04-12T04:33:00.000,1991-04-12T04:55:00.000,1991-04-12T05:06:00.000,1.44e-05,16.0,M1.4,2N,S18W55,6566,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-12T05:06:00.000,0.0206,0.00879,,10.6,49.5,11.8,48.9,None,,,,,,,,0,,,,9.5e-05
1961,1991-04-13T01:22:00.000,1991-04-13T01:52:00.000,1991-04-13T02:09:00.000,8.57e-06,16.0,C8.5,SN,N03W29,6580,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-13T02:09:00.000,0.0159,0.00982,,9.51,49.6,10.9,48.9,None,,,,,,,,0,,,,1.4e-05
1962,1991-04-13T08:35:00.000,1991-04-13T08:51:00.000,1991-04-13T10:07:00.000,3.12e-05,16.0,M3.1,1B,N08E43,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-13T09:02:00.000,0.0273,0.0233,,16.4,49.4,16.2,49.1,None,,,,,,,,0,,,,9.199999999999998e-06
1963,1991-04-13T16:57:00.000,1991-04-13T17:08:00.000,1991-04-13T17:44:00.000,5.41e-06,16.0,C5.4,SN,S10W54,6570,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-13T17:44:00.000,0.0122,0.00655,,7.8,49.6,9.22,48.9,None,,,,,,,,0,,,,3.1e-05
1964,1991-04-14T00:57:00.000,1991-04-14T01:28:00.000,1991-04-14T02:10:00.000,6.55e-06,-1.0,C6.5,SF,N06E34,6583,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-14T01:42:00.000,0.0134,0.00389,,8.57,49.3,9.99,48.7,None,,,,,,,,0,,,,3.1e-05
1965,1991-04-14T03:18:00.000,1991-04-14T03:59:00.000,1991-04-14T04:52:00.000,1.49e-05,16.0,M1.4,2N,S27E16,6582,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-14T04:44:00.000,0.0502,0.0369,,9.19,49.6,10.6,49.0,None,,,,,,,,0,,,,3.1e-05
1966,1991-04-15T09:26:00.000,1991-04-15T09:41:00.000,1991-04-15T11:41:00.000,9.89e-05,16.0,M9.8,2F,S11E70,6593,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-15T09:50:00.000,0.0703,0.0594,,22.8,49.8,21.0,49.5,None,,,,,,,,0,,,,9.800000000000001e-05
1967,1991-04-15T09:57:00.000,1991-04-15T10:10:00.000,1991-04-15T10:42:00.000,5.98e-05,-1.0,M5.9,2F,S11E70,6593,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-15T10:25:00.000,0.0912,0.031,,15.4,49.8,15.5,49.4,None,,,,,,,,0,,,,9.800000000000001e-05
1968,1991-04-15T14:19:00.000,1991-04-15T14:37:00.000,1991-04-15T15:14:00.000,2.59e-05,16.0,M2.5,2B,S10E65,6593,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-15T14:47:00.000,0.0217,0.0171,,15.2,49.5,15.3,49.0,None,,,,,,,,0,,,,9.800000000000001e-05
1969,1991-04-15T15:48:00.000,1991-04-15T15:56:00.000,1991-04-15T16:48:00.000,4.27e-05,16.0,M4.2,1B,S13E67,6593,Yes,0,-1.0,1,30.0,No,,,G7,1991-04-15T16:02:00.000,0.0212,0.0184,,20.9,49.4,19.6,49.2,None,,,,,,,,0,,,,9.800000000000001e-05
1970,1991-04-15T18:59:00.000,1991-04-15T19:07:00.000,1991-04-15T19:51:00.000,3.95e-05,-1.0,M3.9,1N,N06E08,6583,,0,-1.0,0,-1.0,No,,,G7,1991-04-15T19:19:00.000,0.0336,0.0293,,17.9,49.4,17.4,49.1,None,,,,,,,,0,,,,9.800000000000001e-05
1971,1991-04-16T00:43:00.000,1991-04-16T01:11:00.000,1991-04-16T01:34:00.000,1.39e-05,128.0,M1.3,SF,S11E61,6593,Yes,0,-1.0,0,-1.0,No,,,G7,1991-04-16T01:34:00.000,0.0271,0.0179,,13.3,49.3,13.9,48.8,None,,,,,,,,0,,,,9.800000000000001e-05
