,FlrOnset,Flrmaxtime,Flrendtime,FlrPeakFlux,Flareq,xrsclass,optclass,optlocation,region,radiopatrol,TypeII,TypeIIDur,TypeIV,TypeIVDur,cmepatrol,cmeonset,cmespeed,satid,FlrHpTime,FlrIntFlux,FlrIntFlux2,IntFluxQ,tmewe,emmewe,tchianti,emchianti,Association,S1,S2,S3,S4,S5,GT100,Width,sep,1MHz_fluence,1MHz_close_freq,typeIII_int,FlarePersistence
93,1988-04-20T09:54:00.000,1988-04-20T10:36:00.000,1988-04-20T12:29:00.000,1.04e-05,0.0,M1.0,1B,N25W37,0,Yes,0,-1.0,0,-1.0,No,,,G7,1988-04-20T11:05:00.000,0.0277,0.0245,,13.4,49.1,14.0,48.7,None,,,,,,,,0,,,,8.099999999999999e-06
94,1988-04-21T09:08:00.000,1988-04-21T09:53:00.000,1988-04-21T10:52:00.000,2.39e-05,0.0,M2.4,2N,N19W52,4990,Yes,0,-1.0,0,-1.0,No,,,G7,1988-04-21T10:01:00.000,0.0259,0.0224,,12.9,49.4,13.6,49.0,None,,,,,,,,0,,,,1e-05
95,1988-04-22T13:57:00.000,1988-04-22T14:17:00.000,1988-04-22T15:51:00.000,1.02e-05,0.0,M1.0,1N,N21W64,4990,Yes,0,-1.0,0,-1.0,No,,,G7,1988-04-22T14:27:00.000,0.00868,0.00767,,12.3,49.1,13.2,48.7,None,,,,,,,,0,,,,4.2e-06
97,1988-05-03T15:17:00.000,1988-05-03T15:47:00.000,1988-05-03T17:20:00.000,5.02e-06,0.0,C5.0,1F,S20W40,5005,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-03T16:07:00.000,0.00807,0.00623,,9.66,49.1,11.0,48.5,None,,,,,,,,0,,,,7.1e-07
98,1988-05-04T02:00:00.000,1988-05-04T02:40:00.000,1988-05-04T03:18:00.000,5.11e-06,2.0,C5.1,SF,S23W53,5005,Yes,1,12.0,1,55.0,No,,,G7,1988-05-04T02:54:00.000,0.00939,0.00666,,9.85,49.1,11.1,48.5,None,,,,,,,,0,,,,4.9999999999999996e-06
100,1988-05-20T06:07:00.000,1988-05-20T06:23:00.000,1988-05-20T07:40:00.000,1.39e-05,0.0,M1.4,SN,S24E90,0,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-20T06:49:00.000,0.024,0.0229,,17.8,49.3,17.3,48.8,None,,,,,,,,0,,,,0.0
101,1988-05-23T02:26:00.000,1988-05-23T03:08:00.000,1988-05-23T04:53:00.000,8.65e-06,0.0,C8.6,1B,S21E60,0,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-23T04:11:00.000,0.0343,0.0277,,11.0,49.3,12.1,48.7,None,,,,,,,,0,,,,4.599999999999999e-06
102,1988-05-23T05:19:00.000,1988-05-23T05:38:00.000,1988-05-23T07:45:00.000,7.96e-06,0.0,C8.0,1N,S27E61,5027,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-23T06:42:00.000,0.0301,0.0196,,10.6,49.3,11.7,48.7,None,,,,,,,,0,,,,8.599999999999999e-06
103,1988-05-23T08:17:00.000,1988-05-23T08:34:00.000,1988-05-23T09:19:00.000,6.65e-06,0.0,C6.7,SN,S25E58,5027,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-23T08:51:00.000,0.00978,0.00554,,11.2,49.1,12.2,48.6,None,,,,,,,,0,,,,8.599999999999999e-06
104,1988-05-23T11:56:00.000,1988-05-23T12:11:00.000,1988-05-23T12:31:00.000,1.14e-05,0.0,M1.1,SF,S24E57,5027,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-23T12:18:00.000,0.00863,0.0055,,14.0,49.1,14.4,48.7,None,,,,,,,,0,,,,8.599999999999999e-06
105,1988-05-25T15:05:00.000,1988-05-25T16:01:00.000,1988-05-25T16:43:00.000,7.52e-06,0.0,C7.5,SF,S25E31,5027,Yes,1,73.0,0,-1.0,No,,,G7,1988-05-25T16:18:00.000,0.0174,0.0134,,10.7,49.1,11.9,48.6,None,,,,,,,,0,,,,4.2e-06
106,1988-05-27T11:22:00.000,1988-05-27T11:39:00.000,1988-05-27T12:34:00.000,7.45e-06,0.0,C7.4,SF,S26E13,5027,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-27T11:54:00.000,0.00809,0.00724,,15.3,49.0,15.4,48.5,None,,,,,,,,0,,,,1.1000000000000001e-05
107,1988-05-27T13:41:00.000,1988-05-27T13:50:00.000,1988-05-27T14:38:00.000,2.06e-05,0.0,M2.1,1B,S25E04,5027,,0,-1.0,0,-1.0,No,,,G7,1988-05-27T14:02:00.000,0.0148,0.0141,,17.5,49.2,17.0,48.9,None,,,,,,,,0,,,,1.1000000000000001e-05
108,1988-05-28T00:39:00.000,1988-05-28T00:56:00.000,1988-05-28T01:47:00.000,1.15e-05,0.0,M1.2,1B,S26W02,0,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-28T01:06:00.000,0.0101,0.00936,,14.8,49.0,15.0,48.7,None,,,,,,,,0,,,,2e-05
109,1988-05-30T19:37:00.000,1988-05-30T20:09:00.000,1988-05-30T21:11:00.000,8.93e-06,0.0,C8.9,1N,S23W40,5027,,0,-1.0,0,-1.0,No,,,G7,1988-05-30T20:27:00.000,0.016,0.0129,,10.5,49.2,11.7,48.7,None,,,,,,,,0,,,,2.8999999999999998e-06
110,1988-05-31T00:13:00.000,1988-05-31T00:27:00.000,1988-05-31T01:18:00.000,5.79e-06,0.0,C5.8,SF,S26W42,5027,Yes,0,-1.0,0,-1.0,No,,,G7,1988-05-31T00:47:00.000,0.00883,0.00573,,9.31,49.2,10.7,48.6,None,,,,,,,,0,,,,8.9e-06
111,1988-06-01T15:39:00.000,1988-06-01T16:12:00.000,1988-06-01T17:19:00.000,3.19e-06,0.0,C3.2,1N,S26E78,5034,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-01T16:46:00.000,0.00822,0.00501,,8.15,49.1,9.58,48.5,None,,,,,,,,0,,,,2.7e-06
112,1988-06-01T15:39:00.000,1988-06-01T16:12:00.000,1988-06-01T17:27:00.000,3.19e-06,0.0,C3.2,1F,S29E83,5034,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-01T16:46:00.000,0.00822,0.00501,,8.15,49.1,9.58,48.5,None,,,,,,,,0,,,,2.7e-06
115,1988-06-04T06:12:00.000,1988-06-04T07:43:00.000,1988-06-04T09:59:00.000,3.65e-05,0.0,M3.6,1F,N14W34,0,,0,-1.0,0,-1.0,No,,,G7,1988-06-04T08:11:00.000,0.125,0.113,,13.6,49.6,14.1,49.2,None,,,,,,,,0,,,,5.4e-06
116,1988-06-09T16:48:00.000,1988-06-09T17:05:00.000,1988-06-09T19:11:00.000,9.35e-06,0.0,C9.4,1F,N18W63,5032,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-09T17:22:00.000,0.0128,0.0114,,10.7,49.2,11.8,48.7,None,,,,,,,,0,,,,4.1e-06
117,1988-06-15T04:27:00.000,1988-06-15T04:56:00.000,1988-06-15T08:15:00.000,3.32e-06,0.0,C3.3,SF,S27W59,0,Yes,1,18.0,0,-1.0,No,,,G7,1988-06-15T05:26:00.000,0.00812,0.00673,,6.88,49.1,8.24,48.5,Enhancement,,,,,,,,0,,,,7e-07
118,1988-06-15T22:19:00.000,1988-06-15T22:43:00.000,1988-06-16T00:18:00.000,8.51e-06,0.0,C8.5,SB,S17E61,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-15T22:57:00.000,0.0113,0.0103,,13.6,49.0,14.1,48.6,None,,,,,,,,0,,,,3.2999999999999997e-06
119,1988-06-17T03:39:00.000,1988-06-17T04:02:00.000,1988-06-17T05:38:00.000,6.1e-06,0.0,C6.1,1N,S18E43,5047,Yes,0,-1.0,1,15.0,No,,,G7,1988-06-17T04:29:00.000,0.0141,0.0127,,11.2,49.2,12.3,48.7,None,,,,,,,,0,,,,1.8e-06
120,1988-06-22T22:28:00.000,1988-06-22T22:43:00.000,1988-06-23T00:23:00.000,5.28e-05,0.0,M5.3,1N,S18W27,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-22T22:46:00.000,0.0145,0.0136,,20.0,49.5,19.0,49.3,None,,,,,,,,0,,,,5.2000000000000004e-05
121,1988-06-23T09:07:00.000,1988-06-23T09:24:00.000,1988-06-23T11:31:00.000,0.000161,0.0,X1.6,SB,S18W33,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-23T09:28:00.000,0.0574,0.0556,,23.1,50.0,21.1,49.7,None,,,,,,,,0,,,,0.00016
122,1988-06-23T17:39:00.000,1988-06-23T18:01:00.000,1988-06-23T21:05:00.000,8.07e-05,0.0,M8.1,1B,S17W35,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-23T18:10:00.000,0.0703,0.0667,,21.3,49.7,19.9,49.4,None,,,,,,,,0,,,,0.00016
124,1988-06-24T12:27:00.000,1988-06-24T12:45:00.000,1988-06-24T13:21:00.000,8.41e-06,0.0,C8.4,SN,S17W49,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-24T12:57:00.000,0.0114,0.00783,,13.1,49.1,13.7,48.6,None,,,,,,,,0,,,,0.00013000000000000002
125,1988-06-24T13:45:00.000,1988-06-24T14:13:00.000,1988-06-24T15:21:00.000,7.43e-06,0.0,C7.4,1N,S17W49,5047,Yes,1,20.0,0,-1.0,No,,,G7,1988-06-24T14:31:00.000,0.0129,0.00823,,14.1,49.2,14.5,48.6,None,,,,,,,,0,,,,0.00013000000000000002
126,1988-06-24T16:00:00.000,1988-06-24T16:08:00.000,1988-06-24T16:41:00.000,0.000247,8.0,X2.5,2B,S17W52,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-24T16:17:00.000,0.131,0.129,,29.7,50.1,25.6,49.9,None,,,,,,,,0,,,,0.00013000000000000002
127,1988-06-24T16:41:00.000,1988-06-24T16:47:00.000,1988-06-24T18:32:00.000,0.000562,0.0,X5.6,1B,S17W52,5047,Yes,0,-1.0,1,9.0,No,,,G7,1988-06-24T16:50:00.000,0.155,0.136,,23.3,50.5,21.3,50.3,None,,,,,,,,0,,,,0.00024
128,1988-06-24T21:19:00.000,1988-06-24T21:37:00.000,1988-06-24T22:33:00.000,3.37e-05,0.0,M3.4,1B,S21E89,-1,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-24T21:48:00.000,0.0387,0.0356,,16.9,49.4,16.6,49.1,None,,,,,,,,0,,,,0.00056
129,1988-06-25T03:19:00.000,1988-06-25T03:51:00.000,1988-06-25T04:56:00.000,6.12e-06,0.0,C6.1,SF,S16W58,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-25T04:27:00.000,0.0182,0.0121,,11.7,49.1,12.6,48.5,None,,,,,,,,0,,,,0.00056
130,1988-06-25T06:17:00.000,1988-06-25T06:58:00.000,1988-06-25T08:09:00.000,3.03e-05,0.0,M3.0,1B,S19W59,0,,0,-1.0,0,-1.0,No,,,G7,1988-06-25T07:18:00.000,0.0573,0.0497,,16.7,49.5,16.5,49.1,None,,,,,,,,0,,,,0.00056
131,1988-06-25T08:14:00.000,1988-06-25T08:24:00.000,1988-06-25T09:21:00.000,1.27e-05,0.0,M1.3,SN,S16W56,0,,0,-1.0,0,-1.0,No,,,G7,1988-06-25T08:45:00.000,0.0171,0.0118,,14.7,49.1,14.9,48.7,None,,,,,,,,0,,,,0.00056
134,1988-06-26T13:39:00.000,1988-06-26T13:54:00.000,1988-06-26T14:17:00.000,1.36e-05,0.0,M1.4,SF,S21W79,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-26T14:07:00.000,0.0159,0.0126,,13.7,49.1,14.2,48.7,None,,,,,,,,0,,,,6.000000000000001e-05
135,1988-06-26T14:49:00.000,1988-06-26T16:30:00.000,1988-06-26T21:34:00.000,1.05e-05,0.0,M1.0,SF,S18W78,5047,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-26T18:43:00.000,0.122,0.0559,,11.3,49.2,12.3,48.7,None,,,,,,,,0,,,,6.000000000000001e-05
136,1988-06-27T03:00:00.000,1988-06-27T03:08:00.000,1988-06-27T03:35:00.000,1.16e-05,0.0,M1.2,SN,S20E66,5060,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-27T03:20:00.000,0.0113,0.00623,,12.9,49.2,13.6,48.7,None,,,,,,,,0,,,,1.3000000000000001e-05
137,1988-06-27T05:50:00.000,1988-06-27T06:05:00.000,1988-06-27T06:46:00.000,1.38e-05,0.0,M1.4,SN,N12E67,5062,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-27T06:21:00.000,0.0181,0.0145,,13.0,49.3,13.7,48.8,None,,,,,,,,0,,,,1.3000000000000001e-05
138,1988-06-28T04:38:00.000,1988-06-28T04:51:00.000,1988-06-28T05:39:00.000,1.36e-05,0.0,M1.4,SN,S23E50,5060,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-28T05:14:00.000,0.0217,0.016,,14.7,49.2,15.0,48.8,None,,,,,,,,0,,,,1.3000000000000001e-05
140,1988-06-28T09:54:00.000,1988-06-28T09:59:00.000,1988-06-28T10:24:00.000,3.2e-05,0.0,M3.2,2B,S22E35,0,Yes,1,12.0,0,-1.0,No,,,G7,1988-06-28T10:06:00.000,0.0161,0.0135,,16.1,49.3,16.1,49.1,None,,,,,,,,0,,,,1.5000000000000002e-05
141,1988-06-28T11:20:00.000,1988-06-28T11:25:00.000,1988-06-28T11:35:00.000,4.53e-05,0.0,M4.5,SF,N14E50,5062,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-28T11:28:00.000,0.0127,0.00873,,19.2,49.4,18.4,49.2,None,,,,,,,,0,,,,4.5e-05
142,1988-06-28T17:23:00.000,1988-06-28T17:30:00.000,1988-06-28T17:52:00.000,2.42e-05,32.0,M2.4,1F,S24E43,5060,Yes,0,-1.0,0,-1.0,No,,,G7,1988-06-28T17:37:00.000,0.0125,0.01,,22.4,49.2,20.7,48.9,None,,,,,,,,0,,,,4.5e-05
147,1988-06-29T20:12:00.000,1988-06-29T20:18:00.000,1988-06-29T21:42:00.000,4.12e-05,0.0,M4.1,SF,N13E34,5062,,0,-1.0,0,-1.0,No,,,G7,1988-06-29T20:43:00.000,0.0487,0.0457,,21.4,49.4,20.0,49.1,None,,,,,,,,0,,,,6.500000000000001e-05
148,1988-06-30T09:01:00.000,1988-06-30T09:05:00.000,1988-06-30T09:21:00.000,9.29e-05,0.0,M9.2,2B,S16E22,5060,Yes,1,15.0,0,-1.0,No,,,G7,1988-06-30T09:10:00.000,0.0292,0.0282,,21.7,49.7,20.2,49.5,ProtonFlare,1988-06-30T10:00:00.000,,,,,,,1,,,,4.1e-05
